,QV2M,RH2M,PS,T2M,T2M_MIN,T2M_MAX,WS10M,WS50M,WS10M_MAX,WS50M_MAX,WS10M_MIN,WS50M_MIN,T2M_MIN_MINIMO,T2M_MAX_MAXIMO,WS10M_MAX_MAXIMO,WS50M_MAX_MAXIMO,WS10M_MIN_MINIMO,WS50M_MIN_MINIMO
20000131,17.754193548387097,78.43387096774192,100.98774193548387,27.33258064516129,26.999354838709678,27.585483870967742,6.480967741935483,7.119354838709677,7.1654838709677415,7.944193548387097,5.906451612903226,6.457096774193548,26.04,28.1,8.7,9.74,3.09,3.21
20000331,18.2595,79.011,101.05016666666667,27.69,27.352500000000003,27.985,6.196666666666667,6.807,7.131166666666667,7.9030000000000005,5.403833333333334,5.894666666666667,25.96,28.8,9.27,10.33,0.8,0.83
20000531,18.45311475409836,79.04262295081968,101.10786885245902,27.86950819672131,27.52606557377049,28.148688524590163,7.051311475409836,7.832950819672131,7.88672131147541,8.827704918032786,6.2186885245901635,6.863770491803279,26.62,28.89,10.01,11.34,1.19,1.22
20000731,17.279999999999998,80.03016393442623,101.31688524590164,26.593114754098362,26.281311475409836,26.85983606557377,7.66639344262295,8.57016393442623,8.58672131147541,9.681147540983606,6.732950819672131,7.468032786885246,25.0,28.24,10.98,12.59,3.79,4.09
20000930,16.42295081967213,78.05672131147541,101.37901639344263,26.168360655737704,25.832622950819673,26.4427868852459,8.401803278688524,9.463442622950819,9.130491803278689,10.344098360655737,7.631967213114755,8.54688524590164,25.06,27.1,11.61,13.34,5.08,5.48
20001130,16.418360655737704,76.7695081967213,101.20344262295082,26.404426229508196,26.09,26.643606557377048,8.031311475409836,8.985409836065575,8.598852459016394,9.674426229508196,7.361475409836066,8.1872131147541,25.58,27.17,10.63,12.2,5.12,5.55
20010131,17.397096774193546,79.13306451612904,101.18790322580645,26.865483870967743,26.556451612903224,27.09758064516129,7.189193548387097,7.956935483870968,7.939032258064516,8.851129032258065,6.506612903225807,7.14483870967742,25.69,27.69,10.05,11.38,3.09,3.27
20010331,18.079830508474576,79.10881355932203,101.10525423728814,27.508305084745764,27.16457627118644,27.787627118644068,6.353050847457627,6.961694915254237,7.183220338983051,7.948983050847458,5.612711864406779,6.099152542372882,25.86,28.56,9.12,10.29,2.89,2.99
20010531,18.143606557377048,78.6032786885246,101.18295081967213,27.695245901639346,27.388196721311477,27.96655737704918,6.799672131147542,7.529672131147541,7.637377049180328,8.519180327868852,5.951475409836066,6.552950819672131,25.5,28.67,10.85,12.48,1.97,1.99
20010731,16.954590163934427,77.65131147540983,101.42196721311475,26.788360655737705,26.47262295081967,27.0327868852459,8.160983606557377,9.139999999999999,9.068852459016394,10.237540983606557,7.222459016393443,8.035901639344262,25.67,28.33,12.32,14.09,3.67,3.96
20010930,15.731639344262295,76.82393442622951,101.50360655737705,25.73049180327869,25.429180327868853,25.970000000000002,8.947213114754097,10.110655737704919,9.648032786885246,10.974098360655738,8.238852459016393,9.263442622950821,24.88,26.39,11.52,13.28,4.79,5.2
20011130,16.734590163934428,77.09918032786885,101.21967213114753,26.658524590163935,26.356229508196723,26.880163934426232,7.494754098360656,8.334754098360657,8.090983606557376,9.051967213114754,6.868688524590164,7.589016393442623,25.51,27.44,10.44,11.99,5.47,5.95
20020131,18.309838709677418,81.93677419354839,101.10290322580646,27.11741935483871,26.831290322580646,27.351612903225806,7.105967741935483,7.917258064516129,7.809838709677419,8.757741935483871,6.376129032258064,7.061129032258065,25.63,27.98,10.14,11.63,3.73,3.92
20020331,18.405084745762714,80.51169491525422,101.14203389830509,27.523220338983048,27.16864406779661,27.826101694915256,6.603728813559322,7.308305084745762,7.552033898305084,8.428305084745762,5.706271186440678,6.275593220338983,25.44,28.58,9.83,11.12,0.94,1.01
20020531,18.624918032786884,81.30524590163934,101.13049180327869,27.548852459016395,27.219508196721314,27.83475409836066,6.929180327868853,7.700983606557377,7.850655737704918,8.809999999999999,6.099672131147541,6.727540983606557,25.42,28.76,10.14,11.55,1.73,1.79
20020731,17.179016393442623,78.53032786885247,101.47901639344262,26.832295081967214,26.524262295081968,27.09393442622951,7.817540983606557,8.766229508196721,8.653934426229508,9.781803278688525,6.955245901639344,7.7368852459016395,25.39,28.16,10.68,12.23,3.73,3.99
20020930,15.74688524590164,75.07229508196721,101.4688524590164,26.131639344262293,25.8527868852459,26.360655737704917,8.725409836065573,9.827377049180328,9.385737704918032,10.633606557377048,8.092786885245902,9.06688524590164,25.33,26.95,11.96,13.81,6.41,7.11
20021130,16.751967213114753,78.0511475409836,101.25901639344262,26.474098360655738,26.22606557377049,26.682786885245903,8.258032786885247,9.254754098360655,8.890327868852458,10.030655737704919,7.689672131147541,8.574590163934426,25.67,27.08,10.83,12.36,4.99,5.45
20030131,17.799032258064514,79.18354838709678,101.21677419354839,27.243548387096773,26.95725806451613,27.48725806451613,6.30741935483871,6.950645161290322,7.07774193548387,7.865483870967743,5.565645161290322,6.09016129032258,26.28,28.34,9.42,10.73,2.33,2.35
20030331,18.81050847457627,81.16915254237287,101.10779661016949,27.742542372881356,27.389322033898306,28.072881355932203,6.088474576271186,6.685423728813559,6.995593220338983,7.760508474576271,5.173389830508475,5.635254237288136,25.69,28.83,9.55,10.84,2.0,2.11
20030531,18.788852459016397,79.95655737704918,101.18213114754097,27.99409836065574,27.68344262295082,28.284098360655737,6.647704918032787,7.34983606557377,7.463114754098361,8.312622950819671,5.7627868852459025,6.335901639344263,26.36,29.03,10.39,11.88,1.19,1.23
20030731,17.192295081967213,78.90672131147542,101.40622950819672,26.74081967213115,26.446229508196723,27.00344262295082,8.238360655737704,9.255901639344263,9.01639344262295,10.188524590163935,7.386229508196721,8.253770491803278,25.48,28.23,11.45,13.16,3.09,3.28
20030930,16.286065573770493,76.45606557377049,101.45901639344262,26.385737704918032,26.088688524590165,26.64688524590164,8.648852459016394,9.740655737704918,9.275081967213115,10.506229508196721,8.010327868852459,8.979344262295083,25.39,27.08,11.66,13.5,5.77,6.3
20031130,16.822950819672133,76.59573770491804,101.17606557377049,26.847540983606557,26.563278688524587,27.09032786885246,8.194426229508197,9.186885245901639,8.864098360655738,10.007049180327868,7.501967213114754,8.365901639344262,26.12,27.75,10.6,12.12,4.32,4.76
20040131,18.10709677419355,80.62387096774194,101.09774193548388,27.206935483870968,26.919193548387096,27.448548387096775,6.560483870967742,7.272741935483872,7.4067741935483875,8.276290322580644,5.779516129032258,6.3664516129032265,25.39,28.01,9.92,11.35,1.05,1.08
20040331,18.671666666666667,79.72333333333333,101.08983333333335,27.921666666666667,27.64383333333333,28.186,6.891166666666667,7.661333333333333,7.709833333333333,8.645000000000001,6.065666666666667,6.6935,26.32,28.66,10.4,11.91,3.16,3.38
20040531,18.43606557377049,78.28524590163934,101.17,28.03311475409836,27.748852459016394,28.27032786885246,7.155573770491803,7.9598360655737705,7.826065573770491,8.761803278688525,6.370327868852459,7.043114754098361,26.17,29.16,10.56,12.04,4.43,4.76
20040731,17.355409836065576,79.13524590163935,101.44786885245901,26.870163934426227,26.552295081967213,27.134262295081967,7.748360655737705,8.684262295081968,8.509672131147541,9.614098360655738,6.978524590163935,7.774098360655739,25.09,28.42,11.67,13.49,3.8,4.03
20040930,16.39967213114754,77.56901639344262,101.4595081967213,26.26327868852459,25.987540983606557,26.49409836065574,8.98639344262295,10.189508196721311,9.665081967213116,11.026065573770492,8.217704918032787,9.265901639344262,24.65,26.92,11.73,13.66,5.39,5.8
20041130,16.6244262295082,76.85032786885246,101.20590163934426,26.597540983606557,26.33377049180328,26.818524590163936,8.310983606557377,9.33344262295082,8.897213114754098,10.052786885245903,7.709672131147541,8.612295081967213,25.94,27.39,10.41,11.91,5.94,6.48
20050131,17.411935483870966,77.49129032258064,101.10032258064517,27.213548387096775,26.926129032258064,27.445,7.093870967741935,7.877903225806452,7.7340322580645156,8.639032258064516,6.436290322580645,7.110806451612904,26.11,28.35,10.29,11.74,3.25,3.41
20050331,18.752033898305086,79.43847457627119,101.06542372881356,28.05305084745763,27.74271186440678,28.330000000000002,6.418135593220339,7.084915254237288,7.205423728813559,8.013898305084746,5.641355932203389,6.18135593220339,26.28,28.98,9.33,10.55,1.12,1.12
20050531,19.033770491803278,79.22672131147542,101.12524590163935,28.355409836065576,28.118524590163936,28.568524590163936,7.472459016393443,8.37377049180328,8.198524590163935,9.251475409836067,6.673934426229509,7.434590163934426,27.33,29.09,10.09,11.47,3.87,4.13
20050731,17.39049180327869,78.76245901639345,101.43,26.97344262295082,26.676885245901637,27.24950819672131,7.997868852459017,8.996885245901641,8.898360655737704,10.077049180327869,6.971147540983607,7.7865573770491805,25.69,28.06,11.06,12.64,1.58,1.7
20050930,16.11770491803279,76.46655737704918,101.45983606557377,26.20639344262295,25.927377049180325,26.45377049180328,8.713442622950819,9.83311475409836,9.375573770491803,10.639180327868853,8.062295081967214,9.055409836065573,25.44,26.91,11.2,12.99,4.77,5.09
20051130,16.608360655737705,77.32180327868852,101.20885245901638,26.471311475409838,26.198852459016397,26.698032786885246,8.397377049180328,9.452786885245901,9.019836065573772,10.210655737704919,7.76327868852459,8.689836065573772,25.46,27.29,10.75,12.34,4.93,5.31
20060131,17.530322580645162,77.93193548387096,101.03645161290324,27.228548387096776,26.952903225806452,27.456290322580646,7.990806451612904,8.935161290322581,8.623064516129032,9.706935483870968,7.345967741935484,8.165000000000001,26.19,27.97,10.34,11.75,4.52,4.89
20060331,18.36762711864407,79.41610169491526,101.07796610169493,27.70169491525424,27.381186440677965,27.973389830508477,5.842542372881356,6.392542372881357,6.7259322033898306,7.438305084745763,5.106440677966101,5.5416949152542365,26.37,28.96,9.2,10.27,2.66,2.73
20060531,19.071967213114757,80.87540983606557,101.09918032786885,28.037704918032787,27.735901639344263,28.321639344262294,5.971147540983607,6.57016393442623,7.071147540983606,7.866065573770491,4.925245901639344,5.366557377049181,26.23,29.1,10.97,12.62,1.64,1.74
20060731,17.495081967213114,78.77213114754099,101.40098360655738,27.072131147540986,26.80295081967213,27.305573770491804,8.418032786885245,9.488524590163934,9.26393442622951,10.514426229508196,7.456065573770491,8.357049180327868,25.77,28.47,12.15,14.05,2.07,2.2
20060930,16.433278688524588,77.12311475409837,101.4267213114754,26.384754098360656,26.128360655737705,26.583934426229508,8.64360655737705,9.73672131147541,9.378196721311475,10.634918032786885,7.890000000000001,8.838852459016392,25.67,26.86,12.34,14.24,4.69,5.0
20061130,16.844754098360657,77.1055737704918,101.16639344262295,26.757540983606557,26.50049180327869,26.96655737704918,7.933770491803278,8.882131147540985,8.564754098360657,9.648688524590163,7.29,8.112295081967213,25.9,27.55,10.66,12.3,4.76,5.15
20070131,17.756451612903227,78.38209677419354,101.18354838709678,27.365806451612904,27.07693548387097,27.587903225806453,6.984516129032259,7.748870967741936,7.706451612903226,8.611451612903226,6.333387096774194,6.983387096774194,26.49,28.03,9.77,11.07,3.44,3.59
20070331,18.753559322033897,80.00728813559323,101.0922033898305,27.937118644067795,27.609491525423728,28.225932203389828,6.679830508474576,7.380338983050847,7.546271186440678,8.40406779661017,5.834576271186441,6.408135593220338,25.4,28.98,10.3,11.75,0.95,0.95
20070531,18.69868852459016,79.2260655737705,101.15983606557377,28.064262295081967,27.7355737704918,28.33622950819672,6.910983606557377,7.654918032786885,7.820327868852459,8.735901639344261,5.989016393442623,6.5854098360655735,26.44,28.92,10.55,12.07,2.23,2.39
20070731,17.0527868852459,77.51163934426229,101.41213114754099,26.911475409836065,26.60655737704918,27.165081967213112,8.295737704918032,9.328196721311475,9.124754098360656,10.322622950819671,7.361967213114754,8.227377049180328,25.8,28.05,12.19,14.03,2.6,2.75
20070930,16.031639344262295,77.14213114754098,101.44032786885245,25.964590163934425,25.698524590163938,26.18344262295082,9.616885245901639,10.926885245901639,10.336393442622951,11.810983606557377,8.888196721311477,10.04704918032787,25.26,26.68,12.27,14.15,6.99,7.74
20071130,16.71688524590164,78.4716393442623,101.17295081967214,26.32639344262295,26.059836065573773,26.555081967213113,8.398524590163934,9.459016393442623,9.074098360655737,10.285737704918033,7.741639344262295,8.668196721311475,25.37,27.31,10.77,12.43,5.44,5.98
20080131,17.64016129032258,78.41096774193548,101.0591935483871,27.23,26.97274193548387,27.434516129032257,7.425967741935485,8.258387096774193,8.191612903225806,9.179354838709678,6.740967741935484,7.445645161290322,26.32,27.9,9.68,10.98,3.69,3.95
20080331,18.275666666666666,79.60166666666667,101.07616666666667,27.581500000000002,27.259333333333334,27.88516666666667,5.379666666666666,5.864166666666667,6.231,6.847166666666666,4.548500000000001,4.925166666666667,26.26,28.63,8.84,9.94,0.81,0.83
20080531,18.680983606557376,80.92,101.05754098360656,27.66032786885246,27.29344262295082,28.011475409836066,5.66327868852459,6.215737704918033,6.797704918032787,7.535573770491803,4.554918032786886,4.950983606557377,25.93,28.74,11.51,13.28,0.12,0.09
20080731,17.466229508196722,80.08098360655737,101.35016393442622,26.751639344262294,26.428524590163935,27.004590163934427,8.761967213114755,9.899836065573771,9.690655737704917,11.02311475409836,7.7195081967213115,8.660491803278688,25.51,28.1,12.45,14.38,4.45,4.84
20080930,16.8572131147541,79.27721311475409,101.33245901639344,26.321639344262294,26.007213114754098,26.558524590163934,8.66688524590164,9.793606557377048,9.370655737704919,10.648360655737704,7.817704918032787,8.78032786885246,24.38,27.0,11.12,12.74,0.91,0.95
20081130,17.062131147540985,78.27360655737704,101.1939344262295,26.72032786885246,26.462459016393442,26.93622950819672,8.407868852459016,9.47327868852459,9.087704918032788,10.309999999999999,7.691967213114753,8.613606557377048,25.93,27.28,11.41,13.18,5.48,5.92
20090131,17.700645161290325,78.78774193548388,101.09258064516129,27.21209677419355,26.942741935483873,27.440967741935484,6.765483870967741,7.466935483870968,7.558225806451613,8.412580645161292,5.985967741935484,6.558387096774194,26.21,28.0,9.39,10.61,2.91,3.07
20090331,18.5071186440678,80.52305084745763,101.02983050847457,27.58813559322034,27.19864406779661,27.919322033898304,5.6308474576271195,6.149661016949152,6.675254237288136,7.365593220338983,4.637966101694915,5.023220338983051,25.08,28.98,10.6,12.04,0.38,0.34
20090531,18.75672131147541,81.66524590163934,101.13262295081968,27.595081967213115,27.20213114754098,28.032295081967213,4.061311475409836,4.377540983606557,5.512459016393443,6.02016393442623,2.7711475409836064,2.958032786885246,25.79,28.83,8.91,10.04,0.24,0.23
20090731,17.83409836065574,79.81983606557377,101.35688524590165,27.157540983606555,26.77786885245902,27.45393442622951,7.134918032786886,7.936885245901639,8.138032786885246,9.131475409836066,6.078032786885246,6.700655737704918,25.44,28.34,10.9,12.41,2.05,2.16
20090930,16.81098360655738,78.4032786885246,101.41590163934426,26.488852459016393,26.19983606557377,26.725573770491803,8.047377049180328,9.031803278688523,8.695081967213115,9.831147540983608,7.312131147540984,8.154754098360655,25.26,27.4,10.52,12.07,5.02,5.48
20091130,16.65639344262295,76.28803278688524,101.17786885245903,26.742459016393443,26.430983606557376,27.001147540983606,7.582295081967213,8.438524590163935,8.184426229508198,9.161639344262296,6.958524590163935,7.698196721311475,25.76,27.33,9.69,10.99,4.94,5.31
20100131,18.17274193548387,80.74354838709678,101.12919354838711,27.246612903225806,26.950967741935486,27.496935483870967,6.6570967741935485,7.341612903225807,7.251774193548387,8.043064516129032,6.023548387096774,6.604193548387096,26.16,28.26,9.59,10.91,2.44,2.55
20100331,19.401186440677968,81.06423728813559,101.06254237288135,28.27677966101695,27.97186440677966,28.52542372881356,6.379661016949152,7.021694915254237,7.1774576271186445,7.974237288135593,5.575084745762712,6.093898305084746,27.25,29.32,10.16,11.59,3.44,3.62
20100531,19.522950819672133,80.03573770491803,101.07672131147541,28.609016393442623,28.30032786885246,28.873606557377048,6.6786885245901635,7.381147540983607,7.5418032786885245,8.410983606557378,5.78311475409836,6.340491803278688,27.09,29.55,10.48,12.03,2.21,2.34
20100731,17.77229508196721,77.88885245901639,101.35852459016394,27.528032786885248,27.19868852459016,27.805245901639342,8.311967213114755,9.341147540983606,9.262295081967213,10.487213114754098,7.265409836065574,8.105245901639345,25.94,28.9,11.34,13.1,1.72,1.8
20100930,16.497868852459018,77.63934426229508,101.39459016393442,26.33016393442623,26.02885245901639,26.57950819672131,9.462295081967214,10.731475409836065,10.194426229508197,11.63032786885246,8.637377049180328,9.741311475409837,24.98,27.01,12.65,14.58,6.54,7.2
20101130,17.11409836065574,77.56983606557377,101.1204918032787,26.9155737704918,26.626229508196722,27.153442622950816,7.633606557377049,8.518852459016394,8.373934426229509,9.411639344262296,6.92655737704918,7.670983606557377,25.63,27.55,10.84,12.41,3.89,4.13
20110131,17.96693548387097,79.90645161290323,100.94677419354838,27.197580645161292,26.903387096774193,27.443548387096776,6.574677419354838,7.250645161290323,7.477741935483871,8.320483870967742,5.7424193548387095,6.285,25.73,28.1,11.25,12.58,1.56,1.59
20110331,18.64728813559322,80.22084745762712,101.01237288135593,27.77491525423729,27.39864406779661,28.10779661016949,5.736271186440678,6.266440677966101,6.638474576271187,7.326440677966102,4.877118644067797,5.2810169491525425,26.39,28.94,9.5,10.81,1.02,1.05
20110531,19.04983606557377,82.86524590163934,101.06393442622951,27.59377049180328,27.20770491803279,27.950655737704917,6.131311475409836,6.7727868852459014,7.3947540983606554,8.247049180327869,4.88983606557377,5.352131147540984,25.5,28.88,11.08,12.6,0.41,0.47
20110731,17.863114754098362,80.96147540983605,101.3055737704918,26.93950819672131,26.611803278688523,27.217868852459016,7.547540983606557,8.457540983606556,8.797704918032787,9.94967213114754,6.208524590163935,6.905081967213114,25.69,28.37,12.89,14.88,1.02,1.04
