;center_point;envelope
1;POINT (-38.86498999999785 -7.902539999998771);POLYGON ((-39.11498999999785 -8.152539999998771, -38.61498999999785 -8.152539999998771, -38.61498999999785 -7.652539999998771, -39.11498999999785 -7.652539999998771, -39.11498999999785 -8.152539999998771))
2;POINT (-38.86498999999785 -7.402539999998771);POLYGON ((-39.11498999999785 -7.652539999998771, -38.61498999999785 -7.652539999998771, -38.61498999999785 -7.152539999998771, -39.11498999999785 -7.152539999998771, -39.11498999999785 -7.652539999998771))
3;POINT (-38.86498999999785 -6.902539999998771);POLYGON ((-39.11498999999785 -7.152539999998771, -38.61498999999785 -7.152539999998771, -38.61498999999785 -6.652539999998771, -39.11498999999785 -6.652539999998771, -39.11498999999785 -7.152539999998771))
4;POINT (-38.86498999999785 -6.402539999998771);POLYGON ((-39.11498999999785 -6.652539999998771, -38.61498999999785 -6.652539999998771, -38.61498999999785 -6.152539999998771, -39.11498999999785 -6.152539999998771, -39.11498999999785 -6.652539999998771))
7;POINT (-38.36498999999785 -7.902539999998771);POLYGON ((-38.61498999999785 -8.152539999998771, -38.11498999999785 -8.152539999998771, -38.11498999999785 -7.652539999998771, -38.61498999999785 -7.652539999998771, -38.61498999999785 -8.152539999998771))
8;POINT (-38.36498999999785 -7.402539999998771);POLYGON ((-38.61498999999785 -7.652539999998771, -38.11498999999785 -7.652539999998771, -38.11498999999785 -7.152539999998771, -38.61498999999785 -7.152539999998771, -38.61498999999785 -7.652539999998771))
9;POINT (-38.36498999999785 -6.902539999998771);POLYGON ((-38.61498999999785 -7.152539999998771, -38.11498999999785 -7.152539999998771, -38.11498999999785 -6.652539999998771, -38.61498999999785 -6.652539999998771, -38.61498999999785 -7.152539999998771))
10;POINT (-38.36498999999785 -6.402539999998771);POLYGON ((-38.61498999999785 -6.652539999998771, -38.11498999999785 -6.652539999998771, -38.11498999999785 -6.152539999998771, -38.61498999999785 -6.152539999998771, -38.61498999999785 -6.652539999998771))
11;POINT (-38.36498999999785 -5.902539999998771);POLYGON ((-38.61498999999785 -6.152539999998771, -38.11498999999785 -6.152539999998771, -38.11498999999785 -5.652539999998771, -38.61498999999785 -5.652539999998771, -38.61498999999785 -6.152539999998771))
13;POINT (-37.86498999999785 -7.902539999998771);POLYGON ((-38.11498999999785 -8.152539999998771, -37.61498999999785 -8.152539999998771, -37.61498999999785 -7.652539999998771, -38.11498999999785 -7.652539999998771, -38.11498999999785 -8.152539999998771))
14;POINT (-37.86498999999785 -7.402539999998771);POLYGON ((-38.11498999999785 -7.652539999998771, -37.61498999999785 -7.652539999998771, -37.61498999999785 -7.152539999998771, -38.11498999999785 -7.152539999998771, -38.11498999999785 -7.652539999998771))
15;POINT (-37.86498999999785 -6.902539999998771);POLYGON ((-38.11498999999785 -7.152539999998771, -37.61498999999785 -7.152539999998771, -37.61498999999785 -6.652539999998771, -38.11498999999785 -6.652539999998771, -38.11498999999785 -7.152539999998771))
16;POINT (-37.86498999999785 -6.402539999998771);POLYGON ((-38.11498999999785 -6.652539999998771, -37.61498999999785 -6.652539999998771, -37.61498999999785 -6.152539999998771, -38.11498999999785 -6.152539999998771, -38.11498999999785 -6.652539999998771))
17;POINT (-37.86498999999785 -5.902539999998771);POLYGON ((-38.11498999999785 -6.152539999998771, -37.61498999999785 -6.152539999998771, -37.61498999999785 -5.652539999998771, -38.11498999999785 -5.652539999998771, -38.11498999999785 -6.152539999998771))
18;POINT (-37.36498999999785 -8.402539999998771);POLYGON ((-37.61498999999785 -8.652539999998771, -37.11498999999785 -8.652539999998771, -37.11498999999785 -8.152539999998771, -37.61498999999785 -8.152539999998771, -37.61498999999785 -8.652539999998771))
19;POINT (-37.36498999999785 -7.902539999998771);POLYGON ((-37.61498999999785 -8.152539999998771, -37.11498999999785 -8.152539999998771, -37.11498999999785 -7.652539999998771, -37.61498999999785 -7.652539999998771, -37.61498999999785 -8.152539999998771))
20;POINT (-37.36498999999785 -7.402539999998771);POLYGON ((-37.61498999999785 -7.652539999998771, -37.11498999999785 -7.652539999998771, -37.11498999999785 -7.152539999998771, -37.61498999999785 -7.152539999998771, -37.61498999999785 -7.652539999998771))
21;POINT (-37.36498999999785 -6.902539999998771);POLYGON ((-37.61498999999785 -7.152539999998771, -37.11498999999785 -7.152539999998771, -37.11498999999785 -6.652539999998771, -37.61498999999785 -6.652539999998771, -37.61498999999785 -7.152539999998771))
22;POINT (-37.36498999999785 -6.402539999998771);POLYGON ((-37.61498999999785 -6.652539999998771, -37.11498999999785 -6.652539999998771, -37.11498999999785 -6.152539999998771, -37.61498999999785 -6.152539999998771, -37.61498999999785 -6.652539999998771))
23;POINT (-37.36498999999785 -5.902539999998771);POLYGON ((-37.61498999999785 -6.152539999998771, -37.11498999999785 -6.152539999998771, -37.11498999999785 -5.652539999998771, -37.61498999999785 -5.652539999998771, -37.61498999999785 -6.152539999998771))
24;POINT (-36.86498999999785 -8.402539999998771);POLYGON ((-37.11498999999785 -8.652539999998771, -36.61498999999785 -8.652539999998771, -36.61498999999785 -8.152539999998771, -37.11498999999785 -8.152539999998771, -37.11498999999785 -8.652539999998771))
25;POINT (-36.86498999999785 -7.902539999998771);POLYGON ((-37.11498999999785 -8.152539999998771, -36.61498999999785 -8.152539999998771, -36.61498999999785 -7.652539999998771, -37.11498999999785 -7.652539999998771, -37.11498999999785 -8.152539999998771))
26;POINT (-36.86498999999785 -7.402539999998771);POLYGON ((-37.11498999999785 -7.652539999998771, -36.61498999999785 -7.652539999998771, -36.61498999999785 -7.152539999998771, -37.11498999999785 -7.152539999998771, -37.11498999999785 -7.652539999998771))
27;POINT (-36.86498999999785 -6.902539999998771);POLYGON ((-37.11498999999785 -7.152539999998771, -36.61498999999785 -7.152539999998771, -36.61498999999785 -6.652539999998771, -37.11498999999785 -6.652539999998771, -37.11498999999785 -7.152539999998771))
28;POINT (-36.86498999999785 -6.402539999998771);POLYGON ((-37.11498999999785 -6.652539999998771, -36.61498999999785 -6.652539999998771, -36.61498999999785 -6.152539999998771, -37.11498999999785 -6.152539999998771, -37.11498999999785 -6.652539999998771))
29;POINT (-36.86498999999785 -5.902539999998771);POLYGON ((-37.11498999999785 -6.152539999998771, -36.61498999999785 -6.152539999998771, -36.61498999999785 -5.652539999998771, -37.11498999999785 -5.652539999998771, -37.11498999999785 -6.152539999998771))
30;POINT (-36.36498999999785 -8.402539999998771);POLYGON ((-36.61498999999785 -8.652539999998771, -36.11498999999785 -8.652539999998771, -36.11498999999785 -8.152539999998771, -36.61498999999785 -8.152539999998771, -36.61498999999785 -8.652539999998771))
31;POINT (-36.36498999999785 -7.902539999998771);POLYGON ((-36.61498999999785 -8.152539999998771, -36.11498999999785 -8.152539999998771, -36.11498999999785 -7.652539999998771, -36.61498999999785 -7.652539999998771, -36.61498999999785 -8.152539999998771))
32;POINT (-36.36498999999785 -7.402539999998771);POLYGON ((-36.61498999999785 -7.652539999998771, -36.11498999999785 -7.652539999998771, -36.11498999999785 -7.152539999998771, -36.61498999999785 -7.152539999998771, -36.61498999999785 -7.652539999998771))
33;POINT (-36.36498999999785 -6.902539999998771);POLYGON ((-36.61498999999785 -7.152539999998771, -36.11498999999785 -7.152539999998771, -36.11498999999785 -6.652539999998771, -36.61498999999785 -6.652539999998771, -36.61498999999785 -7.152539999998771))
34;POINT (-36.36498999999785 -6.402539999998771);POLYGON ((-36.61498999999785 -6.652539999998771, -36.11498999999785 -6.652539999998771, -36.11498999999785 -6.152539999998771, -36.61498999999785 -6.152539999998771, -36.61498999999785 -6.652539999998771))
35;POINT (-36.36498999999785 -5.902539999998771);POLYGON ((-36.61498999999785 -6.152539999998771, -36.11498999999785 -6.152539999998771, -36.11498999999785 -5.652539999998771, -36.61498999999785 -5.652539999998771, -36.61498999999785 -6.152539999998771))
37;POINT (-35.86498999999785 -7.902539999998771);POLYGON ((-36.11498999999785 -8.152539999998771, -35.61498999999785 -8.152539999998771, -35.61498999999785 -7.652539999998771, -36.11498999999785 -7.652539999998771, -36.11498999999785 -8.152539999998771))
38;POINT (-35.86498999999785 -7.402539999998771);POLYGON ((-36.11498999999785 -7.652539999998771, -35.61498999999785 -7.652539999998771, -35.61498999999785 -7.152539999998771, -36.11498999999785 -7.152539999998771, -36.11498999999785 -7.652539999998771))
39;POINT (-35.86498999999785 -6.902539999998771);POLYGON ((-36.11498999999785 -7.152539999998771, -35.61498999999785 -7.152539999998771, -35.61498999999785 -6.652539999998771, -36.11498999999785 -6.652539999998771, -36.11498999999785 -7.152539999998771))
40;POINT (-35.86498999999785 -6.402539999998771);POLYGON ((-36.11498999999785 -6.652539999998771, -35.61498999999785 -6.652539999998771, -35.61498999999785 -6.152539999998771, -36.11498999999785 -6.152539999998771, -36.11498999999785 -6.652539999998771))
43;POINT (-35.36498999999785 -7.902539999998771);POLYGON ((-35.61498999999785 -8.152539999998771, -35.11498999999785 -8.152539999998771, -35.11498999999785 -7.652539999998771, -35.61498999999785 -7.652539999998771, -35.61498999999785 -8.152539999998771))
44;POINT (-35.36498999999785 -7.402539999998771);POLYGON ((-35.61498999999785 -7.652539999998771, -35.11498999999785 -7.652539999998771, -35.11498999999785 -7.152539999998771, -35.61498999999785 -7.152539999998771, -35.61498999999785 -7.652539999998771))
45;POINT (-35.36498999999785 -6.902539999998771);POLYGON ((-35.61498999999785 -7.152539999998771, -35.11498999999785 -7.152539999998771, -35.11498999999785 -6.652539999998771, -35.61498999999785 -6.652539999998771, -35.61498999999785 -7.152539999998771))
46;POINT (-35.36498999999785 -6.402539999998771);POLYGON ((-35.61498999999785 -6.652539999998771, -35.11498999999785 -6.652539999998771, -35.11498999999785 -6.152539999998771, -35.61498999999785 -6.152539999998771, -35.61498999999785 -6.652539999998771))
49;POINT (-34.86498999999785 -7.902539999998771);POLYGON ((-35.11498999999785 -8.152539999998771, -34.61498999999785 -8.152539999998771, -34.61498999999785 -7.652539999998771, -35.11498999999785 -7.652539999998771, -35.11498999999785 -8.152539999998771))
50;POINT (-34.86498999999785 -7.402539999998771);POLYGON ((-35.11498999999785 -7.652539999998771, -34.61498999999785 -7.652539999998771, -34.61498999999785 -7.152539999998771, -35.11498999999785 -7.152539999998771, -35.11498999999785 -7.652539999998771))
51;POINT (-34.86498999999785 -6.902539999998771);POLYGON ((-35.11498999999785 -7.152539999998771, -34.61498999999785 -7.152539999998771, -34.61498999999785 -6.652539999998771, -35.11498999999785 -6.652539999998771, -35.11498999999785 -7.152539999998771))
52;POINT (-34.86498999999785 -6.402539999998771);POLYGON ((-35.11498999999785 -6.652539999998771, -34.61498999999785 -6.652539999998771, -34.61498999999785 -6.152539999998771, -35.11498999999785 -6.152539999998771, -35.11498999999785 -6.652539999998771))
56;POINT (-34.36498999999785 -7.402539999998771);POLYGON ((-34.61498999999785 -7.652539999998771, -34.11498999999785 -7.652539999998771, -34.11498999999785 -7.152539999998771, -34.61498999999785 -7.152539999998771, -34.61498999999785 -7.652539999998771))
57;POINT (-34.36498999999785 -6.902539999998771);POLYGON ((-34.61498999999785 -7.152539999998771, -34.11498999999785 -7.152539999998771, -34.11498999999785 -6.652539999998771, -34.61498999999785 -6.652539999998771, -34.61498999999785 -7.152539999998771))
